amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,max_drawdown_date,scheme_name,fund_house,category,sub_category,expense_ratio_pct
100016,-2.224270997710287,1.292649342495622,2.529046249620115,-0.2015170675596694,-0.35104746015230903,3.747580763443281,-0.0582684314388089,-24.734440880673304,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.55
100025,3.704968580461343,3.9163899571040384,3.986647630120066,-0.5670947928476847,-0.9418212366054207,4.281792031506088,0.0011582183155281463,-4.308263824636349,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.56
100033,53.23239623092084,32.442459421956116,26.41284418136891,1.0936987435346308,1.8291339615146942,27.19535450128533,0.0051035258305283104,-16.217208574644847,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38
101206,47.92412023860102,28.96769452874166,20.414973065696017,1.0272133278753697,1.7995628746984524,21.399784776051213,0.02108631625012803,-11.291596329323072,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6
101207,-23.986031710270627,-4.152381044854481,7.187271340560786,0.1626607692864677,0.27664379626092334,10.897091901704538,-0.06528924788351524,-35.44691649336603,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1.53
101208,7.23664530138024,6.315784491375509,5.708714371093349,-0.8155673679088278,-1.6810378667512837,6.086145795787115,0.00026670968338238433,-0.16224980244717857,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.79
102885,20.207703983094838,19.66726206830185,15.622759053747926,0.8170993373494368,1.4357420130649492,17.048756803412697,-0.019486785689474526,-10.85986215250232,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1.57
102886,-16.797480944407305,-0.7674063178547241,0.8032695699041303,-0.20583160785470314,-0.34722230254727277,2.8969397866379443,-0.04212502902189432,-28.00112356639287,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.51
102887,13.5831349444816,25.556187904126524,14.919507520880849,0.6195175900829828,1.0887552508030014,16.211256794033254,0.016682689437770827,-21.285398874796858,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1.64
118632,33.9810484550213,22.652359830098632,20.898396688116904,1.0816591793457044,1.8501325468557264,21.829397904608644,-0.008353832126962021,-17.41407508665723,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1.51
